"Id";"Name";"CategoryName";"Value"
4201;"Légli '333' 2011 (az év 333. napjától)";"Dél-Balaton";1340
4301;"Légli Blanc 2010";"Légli Ottó";1340
4501;"Légli Lugas 2009";"Légli Ottó";1940
4601;"Légli Chardonnay 2011 (márciustól)";"Légli Ottó";2590
4701;"Konyári Merlot-Kékfrankos 2009";"Konyári János";1340
4801;"Konyári Cabernet Sauvignon 2008";"Konyári János";2070
4901;"Konyári  Kékfrankos 2009";"Konyári János";2920
5001;"Ikon Chardonnay 2011";"Ikon Pincészet";1340
5101;"Ikon Rosé 2011 (decembertõl)";"Ikon Pincészet";1340
5201;"Ikon Kékfrankos 2011";"Ikon Pincészet";1340
5301;"Ikon Merlot 2009";"Ikon Pincészet";1340
10201;"Nyakas Budai Sauvignon Blanc 2010";"Nyakas Pince";1940
10301;"Szent Ilona Olaszrizling 2007";"Kreinbacher Birtok";1710
10401;"Szent Ilona Furmint 2009";"Kreinbacher Birtok";1710
11901;"Dúzsi Marci 2011";"Dúzsi Tamás";1270
12001;"Dúzsi Új Rosé 2011";"Dúzsi Tamás";1510
12101;"Dúzsi Leányvári Kékfrankos 2008";"Dúzsi Tamás";1530
12201;"Dúzsi Szegzárdi Merlot 2008";"Dúzsi Tamás";2680
12301;"Dúzsi Szegzárdi Kadarka 2008";"Dúzsi Tamás";2680
12401;"Dúzsi Szegzárdi Ó Vörös 2007";"Dúzsi Tamás";2680
12501;"Dúzsi Pinot Noir 2007";"Dúzsi Tamás";3660
12601;"Dúzsi Szegzárdi Syrah 2009";"Dúzsi Tamás";3660
13301;"Heimann Borunkissza 2008";"Heimann Pince";1220
13401;"Sebestyén ICZE 2009";"Sebestyén Csaba";1620
13501;"Sebestyén INDIGÓ Zweigelt 2009";"Sebestyén Csaba";2350
13601;"Sebestyén Kékfrankos Válogatás 2007";"Sebestyén Csaba";2600
13701;"Sebestyén Bikavér 2007";"Sebestyén Csaba";3070
13801;"Sebestyén Grádus 2007";"Sebestyén Csaba";6480
13901;"Takler Rosé 2010";"Takler Pince";1580
14001;"Takler Pinot Noir Rosé 2011 (korlátozott)";"Takler Pince";1580
14101;"Takler Kadarka Siller 2010";"Takler Pince";1710
14201;"Takler Kékfrankos 2009";"Takler Pince";1660
14301;"Trió 2007";"Takler Pince";2100
14401;"Takler Pinot Noir 2009";"Takler Pince";2430
14501;"Takler Cabernet Franc 2008";"Takler Pince";2560
14601;"Takler Merlot 2008";"Takler Pince";2560
14701;"Takler Syrah 2009";"Takler Pince";2800
14801;"Takler Kadarka 2009";"Takler Pince";2800
14901;"Takler Bikavér Reserve 2007";"Takler Pince";4140
15001;"Takler Kékfrankos Reserve 2007";"Takler Pince";5360
15101;"Takler Bartina 2006";"Takler Pince";6480
15901;"Vesztergombi Csaba Cuvée 2006";"Vesztergombi Pince";6480
16001;"Lisicza Sauvignon Blanc 2011";"Lisicza Borház";2070
16101;"Günzer Rosé 2011";"Günzer Zoltán";1540
16201;"Günzer Portugieser 2010";"Günzer Zoltán";1620
16301;"Günzer Villányi 2008";"Günzer Zoltán";1970
16401;"Günzer Cabernet Sauvignon 2008";"Günzer Zoltán";2430
16501;"Günzer Cabernet Franc 2008";"Günzer Zoltán";3050
16601;"Mayer Rosé 2011";"Mayer Márton";1660
17501;"Szemes Merlot 2008";"Szemes József";2750
17601;"Gere Olaszrizling 2010";"Gere Attila";1590
17701;"Gere Portugieser 2010";"Gere Attila";1740
17801;"Gere Cabernet Sauvignon 2008";"Gere Attila";3410
18201;"Solus 2007";"Gere Attila";12920
18301;"Gere Rosé Frici 2011";"Gere Attila";2440
18901;"Bock Hárslevelû 2009";"Bock József";2060
20601;"Sauska ""11"" 2008";"Sauska Pincészet";4580
20701;"Akutyafáját 2010";"St. Andrea / Lõrincz György";1930
20801;"St. Andrea Napbor 2011";"St. Andrea / Lõrincz György";2310
20901;"St. Andrea Pinot Noir 2009";"St. Andrea / Lõrincz György";2750
21001;"St. Andrea Áldás 2009 (Egri Bikavér)";"St. Andrea / Lõrincz György";3170
21101;"Bolyki Indián Nyár 2010";"Bolyki János";1780
21201;"Bolyki Egri Bikavér 2008";"Bolyki János";2590
21301;"Bolyki Cabernet Franc 2008";"Bolyki János";3400
95301;"Rinatura Bio MiniReiswaffeln schoko 60g";"Kenyerek, kenyérfélék";590
95401;"Molino Spadoni 00 liszt pizzához 1kg";"Lisztek";590
95501;"Molino Spadoni 00 liszt tésztához 1kg";"Lisztek";590
95601;"Molino Spadoni durumliszt 1kg";"Lisztek";690
95701;"WessexM Gluténmentes liszt 1,5kg";"Lisztek";1590
96501;"La Tourangelle Argánolaj bio 250ml";"Olajak";5990
97401;"Oh aik guan Sesame oil 150ml";"Olajak";890
97501;"Olivier Huile Ü. Ail 250ml";"Olajak";2590
98201;"Dorset berries & cherries muesli 620g";"Reggelihez";1590
98901;"M.Turenne Rillettes de Canard 180g";"Sók";1690
100401;"Silver Spoon Orange Drops 100g";"Díszítõk";650
100901;"NM Almond extract 60ml";"Ízesítõk";1290
102001;"Nortindal Tinta de Calamar doses 4x4g";"Hús, hal konzerv";299
102101;"Don Antonio Passata di Pomodoro 500g";"Szószok, öntetek";990
103301;"Flying Goose Chilli Sauce green 295ml";"Szószok, öntetek";690
103401;"Flying Goose Chilli sauce seafood 375ml";"Szószok, öntetek";690
103501;"Sriracha Chilli Sauce Ginger 455ml";"Szószok, öntetek";1490
103601;"Sriracha thai citromfüves chilli 455ml";"Szószok, öntetek";1490
103701;"Ma Ling vizigesztenye 143g M";"Zöldség, Gyümölcs";250
103801;"Pirított hagyma value pack 500g";"Zöldség, Gyümölcs";750
103901;"Daioni Banana Milk BIO banános tej 250ml";"Tejtermékek";399
104001;"Daioni Choc. Milk BIO csokis tej 250ml";"Tejtermékek";399
104101;"Daioni Strawb. Milk BIO epres tej 250ml";"Tejtermékek";399
104201;"Baru Chocolate Dark Marshmallow 4db 54g";"Édességek";750
104901;"Bovetti Blanc Cerise cseresznyés 50g";"Édességek";690
105801;"Divine chilis-narancsos étcsokoládé";"Édességek";699
108001;"Madécasse 44% arabica coffee 25g";"Édességek";490
109701;"Willie's Chulucanas Cacao 50g";"Édességek";699
110601;"Jack Link's curry ízesítésû szárított csirkehús falatok 25g";"Chipsek";499
111801;"Kettle balzsamecetes-sós burgonyachips 150g";"Chipsek";799
112401;"Mexican Dave's Hot Chilli 225g";"Chipsek";499
112901;"Nabisco Oreo Sandwich Biscuits 66g";"Chipsek";349
113001;"Rocky Mountain marshmallow fruit 150g";"Cukorka, rágógumi";590
113101;"Rocky Mountain marshmallows fehér 150g";"Cukorka, rágógumi";590
113201;"Rocky Mountain mini marshmallows 150g";"Cukorka, rágógumi";590
113301;"Swiss Army Berry Mints 14g";"Cukorka, rágógumi";499
113401;"Swiss Army Dark Choc. Caff.&Guarana 50g";"Cukorka, rágógumi";499
113501;"Swiss Army fém díszdoboz 6tábla csokihoz";"Cukorka, rágógumi";590
113601;"Swiss Army Milk Choc. Caff.&Guarana 50g";"Cukorka, rágógumi";499
113701;"Swiss Army White Choc. Coconut 50g.";"Cukorka, rágógumi";499
113801;"Swiss Navy Grape Mints 14g";"Cukorka, rágógumi";499
113901;"Swiss Navy Strong Mints 14g";"Cukorka, rágógumi";499
114001;"Border citromos keksz 175g";"Édes kekszek";890
115801;"Deseo biscotti dolci cocoa-pist.160g";"Édes kekszek";1990
116501;"Rinatura Bio Haselnuss-waffeln 175g";"Édes kekszek";890
116601;"Rinatura Bio Honig-waffeln 175g";"Édes kekszek";890
116701;"Eat Nat Almonds apricots & yoghurt 50g M";"Mûzliszeletek";350
